count,city,installation_date
1,Camp Verde,2007
7,Soledad,2013
2,ALBION,2013
2,Rolling Hills Estates,2006
2,ROMOLAND,2013
5,PLANADA,2019
1,JURUPA,2017
1,ESCONDIDO,2000
1,DEER PARK,2013
2,Lawndale,2010
8,Danville,2004
1,Grimes,2009
1,KEENE,2006
3,Harbor City,2017
1,Greenville,2012
1,Willows,2018
2,Canoga Park,2016
131,TWENTYNINE PALMS,2019
114,Hesperia,2016
129,LOOMIS,2018
2,Scotts Valley,2019
1,South GAte,2016
2,YUCAIPA,2007
1,Fiddletown,2003
1,Tapanga,2003
4,CASTAIC,2010
353,POMONA,2016
4,Hidden Hills,2011
1,MOUNT AUKUM,2002
1,CHINO,2010
1,Lost Hills,2008
3,Redondo Beach,2003
3,POINT ARENA,2018
70,BORREGO SPRINGS,2017
14,Salinas,2008
227,JURUPA VALLEY,2019
23,ESCONDIDO,2010
114,NIPOMO,2014
1,West Hollywood,2014
206,SAN JACINTO,2016
1,Knightsen,2012
2,KEENE,2015
4,Pleasant Grove,2011
7,Carlsbad,2005
111,Riverside,2011
61,Whittier,2012
1,Leucadia,2004
2,FELLOWS,2017
44,SAN MARTIN,2017
1,La Palma,2018
172,KERMAN,2016
1,PINE MOUNTAIN CLUB,2019
20,Fallbrook,2006
1,Stevenson Ranch,2004
4,Campbell,2004
1,BIG PINE,2018
2,Walnut,2003
2,Monterey Park,2008
16,Paradise,2014
7,Stinson Beach,2007
1,San Geronimo,2006
1,Coto De Caza,2005
34,Bishop,2019
1,Pacheco,2012
15,Escondido,2005
6,TRABUCO CANYON,2013
10,Marysville,2006
2,napa,2013
4,Monterey,2004
14,American Canyon,2012
6,Forestville,2010
3,Bay Point,2010
4,Dixon,2015
4,Hanford,2005
1,New Castle,2007
8,MONTE SERENO,2017
7,Santa Rosa,2001
12,Sun City,2009
28,Lodi,2013
1,Soquel,2016
1,French Camp,2009
1,Agoura,2008
11,MAYWOOD,2016
10,Red Bluff,2009
7,San Lorenzo,2011
1,Esparto,2018
136,Hesperia,2014
41,ARTESIA,2015
2,Marina,2017
4,Covelo,2010
5,Clayton,2014
428,MERCED,2015
882,MANTECA,2015
1,Reedley,2004
12,Hamilton City,2012
4,RAMONA,2007
12,Orinda,2014
1,WITTER SPRINGS,2015
12,Reedley,2014
47,LIVINGSTON,2015
11,INVERNESS,2016
1,Inglewood,2015
5,BRISBANE,2018
5,Cloverdale,2003
1,Rancho Mirage,2015
5,Bay Point,2019
6,Lakewood,2007
5,PALERMO,2017
12,Gridley,2013
1,RUTHERFORD,2007
4,Templeton,2015
9,Moorpark,2009
5,Aguanga,2012
1,Anderson,2017
11,TIPTON,2016
216,Corona,2011
3,Grand Terrace,2010
3,Santee,2003
1,Colusa,2003
459,PASO ROBLES,2015
1,AMADOR CITY,2017
34,Benicia,2011
52,Scottsdale,2008
9,GUALALA,2018
4,Somis,2007
1,Tuolumne,2013
35,DOS PALOS,2019
36,Palmdale,2010
5,Carlsbad,2002
1,Rail Road Flat,2011
94,ESCALON,2017
2,Point Arena,2004
5,CUTLER,2019
5,El Dorado,2003
2,Santa Nella,2014
3,PAYNES CREEK,2015
1,Alhambra,2003
1,PASKENTA,2013
2,Palmdale,2006
5,Gridley,2014
435,Irvine,2014
1,SHEEP RANCH,2018
1,Bodfish,2009
1,SANTA FE SPRINGS,2009
17,BONSALL,2013
177,Menifee,2015
1,Sunnyvale,2000
16,Garden Grove,2009
1,Laguna beach,2017
2,South Laguna,2011
6,GOLETA,2013
8,Topanga,2008
51,TRAVIS AFB,2016
40,San Bernardino,2011
1,Corralitos,2002
5,Norwalk,2009
1,Lakehead,2008
28,Palm Springs,2008
2199,CHULA VISTA,2016
15,WOODBRIDGE,2018
73,Concord,2009
8,Inyokern,2013
1,ontario,2016
1,SURFSIDE,2017
6,Kensington,2006
8,PEARBLOSSOM,2019
1,NORWALK,2005
1,TRONA,2016
5,Newberry Springs,2016
138,ANDERSON,2016
3,Los Alamos,2006
1,PALO VERDE,2017
1,TERRA BELLA,2010
15,PEBBLE BEACH,2019
2,Montebello,2009
330,Santa Clarita,2012
7,Campbell,2005
1,Winters,2017
23,Aptos,2006
393,OAKLEY,2018
14,Chula Vista,2006
17,West Sacramento,2016
1,Chowchilla,2015
1,PALO VERDE,2019
71,COLUSA,2019
9,Plymouth,2008
2,Ladera Ranch,2016
3,Los Altos,2001
1,Sultana,2011
17,Ontario,2009
189,Buena Park,2016
195,HUNTINGTON BEACH,2014
18,Alhambra,2016
12,MAXWELL,2015
71,SONORA,2015
2,Vina,2010
1,Green Valley,2012
1,Kelseyville,2000
32,PISMO BEACH,2016
1,Auberry,2001
7,Biola,2015
121,JURUPA VALLEY,2018
1,Jamul,2019
1,Fountain Valley,2015
64,OAK HILLS,2015
4,Newman,2010
3,RICHVALE,2018
1,Shoshone,2011
2,TEMPLE CITY,2012
18,GROVER BEACH,2017
3,Los Banos,2017
147,Tracy,2012
130,Tulare,2013
13,Norco,2009
2,Lindsay,2010
3,Le Grand,2010
22,COTATI,2019
5,WELDON,2014
1,COMPTCHE,2017
30,Willows,2012
1,ROMOLAND,2008
1,Benton,2011
1,North San Juan,2006
1,Grizzly Flats,2007
63,Tustin,2016
18,CASTROVILLE,2014
1,Leona Valley,2018
1,Hermosa Beach,2003
17,Acampo,2013
2,Somerset,2002
2,Nelson,2008
1,REDLANDS,2008
11,Escalon,2011
2,San Bruno,2015
2,SAN LUCAS,2015
12,ELVERTA,2016
93,CORONADO,2018
122,Santa Cruz,2011
1,Pollack Pines,2004
72,SOLANA BEACH,2017
1,Mc Farland,2011
10,WEST HOLLYWOOD,2019
9,Caruthers,2013
13,Windsor,2007
626,LONG BEACH,2019
1,Ballico,2010
7,GALT,2019
1,Chalfant Valley,2012
1165,VISALIA,2019
4,SHINGLETOWN,2013
39,Madera,2006
2,Arbuckle,2006
75,PARADISE,2014
1,LA CA?ADA FLINGTRIDGE,2019
15,PENRYN,2017
3,CARLOTTA,2017
124,San Ramon,2012
1,Orinda,2001
1,HEMET,2008
2,LA MIRADA,2011
69,NEVADA CITY,2019
1,GLENHAVEN,2014
188,Eastvale,2014
1,N RICHMOND,2016
36,Selma,2013
35,Woodside,2008
8,Lodi,2006
63,RANCHO LA COSTA,2017
1,Emeryville,2007
9,BELLA VISTA,2017
2,Cathedral City,2001
2,Las Flores,2014
43,Rancho Palos Verdes,2009
3,EL CAJON,2001
10,BIGGS,2017
4,Lawndale,2017
1,Vallecito,2013
24,Davis,2019
4006,BAKERSFIELD,2017
8,Sonoma,2003
3,GREENFIELD,2013
121,SOLANA BEACH,2016
3,Hidden Hills,2014
453,APPLE VALLEY,2018
19,Half Moon Bay,2012
2,ALTA LOMA,2011
10,Penn Valley,2004
350,Fresno,2019
2,Forest Ranch,2010
123,Chino Hills,2014
9,Topanga,2004
15,KERMAN,2013
19,San Anselmo,2009
11,CASTROVILLE,2017
5,Kelseyville,2014
29,OCEANO,2016
24,MURPHYS,2018
118,RANCHO SANTA MARGARITA,2015
30,Brentwood,2007
1,Brisbane,2003
3,Point Richmond,2004
61,Grass Valley,2013
1,El Granada,2005
16,Desert Hot Springs,2010
2,Costa Mesa,2001
4,Lemon Grove,2016
3,La Puente,2015
1,Palo Verde,2014
2,Julian,2004
1,SUNOL,2006
27,Hemet,2015
5,Los Osos,2004
2,Williams,2016
1,BROOKDALE,2015
32,Lemoore,2008
3,BURNEY,2016
5,Granite Bay,2003
176,NEWMAN,2017
1,Scotia,2014
2,Orland,2016
6,Meadow Vista,2004
5,APPLE VALLEY,2012
4,Squaw Valley,2011
2,Atwater,2005
4,Phelan,2010
4,COVINA,2012
138,PARADISE,2015
41,Coarsegold,2011
8,Signal Hill,2018
214,NEWARK,2015
1,RICHMOND,2006
1,INGLEWOOD,2012
2,Morongo Valley,2004
484,RIALTO,2015
2,Pismo Beach,2012
1,California Hot Springs,2012
505,CONCORD,2017
2,Kenwood,2003
5,Livingston,2015
1,New River,2004
3,East Palo Alto,2008
313,El Dorado Hills,2016
175,LAGUNA NIGUEL,2017
15,MONTARA,2019
239,BUENA PARK,2018
23,SUISUN CITY,2013
103,DELANO,2016
188,LOS ALTOS,2018
20,LANCASTER,2012
3,LAKE ALMANOR,2018
52,Santa Cruz,2004
2,OAK RUN,2016
8,LEONA VALLEY,2019
2,Oceano,2003
12,WOODLAKE,2014
1,PALMDALE,2008
4,Three Rivers,2006
9,Stockton,2016
1,YETTEM,2017
2,NORCO,2003
2,LEE VINING,2019
1,LEMON COVE,2018
1,Foster City,2004
8,DULZURA,2016
5,Merced,2019
200,UNION CITY,2015
3,RANCHO PALOS VERDES,2011
1,Redwood Valley,2004
3,Westminster,2007
1,Danville,2000
1,Clarksburg,2015
14,OCEANO,2018
316,SAN RAMON,2014
12,Esparto,2013
14,EARLIMART,2016
2,Homeland,2012
2,Thousand Oaks,2001
25,Thousand Oaks,2008
127,NEWARK,2018
1,SAN CLEMENTE,2002
1,SAN CLEMENTE,2009
3,POTRERO,2014
3,TRINIDAD,2013
1,ROMOLAND,2003
9,SANTA YSABEL,2019
1,Eden Valley,2007
103,Orange,2016
2,Kensington,2002
1,Death Valley,2008
2,MIRANDA,2015
34,ANAHEIM,2017
68,SAN LORENZO,2017
5,LANDERS,2014
27,PARAMOUNT,2018
2,WARNER SPRINGS,2005
1,Hawaiian Gardens,2017
36,Kerman,2019
1,ALPINE,2005
32,ROSEVILLE,2017
8,Los Altos,2002
9,APPLEGATE,2016
1,ROSEMEAD,2013
3,Groveland,2009
7,Chatsworth,2011
1,PLEASANT GROVE,2002
1,MOORPARK,2009
404,PLEASANTON,2016
48,Exeter,2013
1,Berry Creek,2005
15,Atascadero,2017
67,CORCORAN,2015
72,Hanford,2011
3,Monrovia,2008
3,Dinuba,2007
3,Red Bluff,2002
1,Cerritos,2007
3,Calistoga,2014
12,BENTON,2018
2,MOORPARK,2003
1,TUSTIN,2007
6,Hawthorne,2009
1,Greenwood,2005
1,Carlsbad,2000
6,CHUALAR,2019
3,Sonoma,2002
3,Murphys,2005
151,FORT BRAGG,2018
1,HAWTHORNE,2009
3,Lower Lake,2007
32,PAUMA VALLEY,2017
24,FORESTHILL,2019
171,YORBA LINDA,2014
1,Rcho Santa Fe,2013
18,Oak View,2013
5,North Fork,2013
426,TULARE,2015
26,San Rafael,2003
2,MERIDIAN,2013
2,Coto de Caza,2017
2,RUTHERFORD,2018
3,Inyokern,2016
22,Vista,2016
2,Hacienda Hts,2013
19,SANTA ROSA VALLEY,2018
23,Chico,2005
1,DUARTE,2008
8,Cupertino,2005
1,VISTA,2004
1,Crows Landing,2016
1,MANHATTAN BEACH,2004
55,Redding,2013
108,Carlsbad,2015
1,NEWHALL,2012
57,RANCHO SANTA MARGARITA,2018
1,Coloma,2011
171,Lincoln,2012
6,Porterville,2009
13,The Sea Ranch,2010
3,Cottonwood,2003
3,North Fork,2006
1,Montclair,2008
1,OAK PARK,2005
1,MONTEBELLO,2008
5,AMADOR CITY,2019
52,MORRO BAY,2015
1,ELK,2015
3,Napa,2017
205,RIDGECREST,2014
31,PIRU,2014
1,SHAVER LAKE,2014
42,Lake Elsinore,2011
1,Somis,2018
1,LA VERNE,2011
8,Hamilton City,2014
105,CLAYTON,2015
18,MORRO BAY,2018
91,Sun City,2013
5,CLAREMONT,2010
793,EL DORADO HILLS,2019
1,MANTON,2013
388,Davis,2012
1,San Rafael,2017
7,Fullerton,2004
7,Browns Valley,2011
1,AVERY,2014
1,Lockwood,2010
80,CLAYTON,2014
3,SAN PEDRO,2016
5,NORCO,2012
1,Brooks,2013
2,Groveland,2006
2,Lockwood,2013
1,Lee Vining,2012
677,FREMONT,2015
9,Penn Valley,2014
19,FREEDOM,2015
75,Manhattan Beach,2013
9,EL MACERO,2017
11,IVANHOE,2018
94,Woodland,2015
43,San Dimas,2013
317,MISSION VIEJO,2017
3,LINDSAY,2003
60,ROHNERT PARK,2017
1,Moreno Valley,2002
12,BASS LAKE,2017
7,HARBOR CITY,2015
2,Orland,2003
5,Monte Sereno,2011
97,NEWBURY PARK,2017
179,ALPINE,2017
2,Dinuba,2003
342,DAVIS,2016
6,Aptos,2003
7,Canyon Lake,2009
84,NEWCASTLE,2017
2,GREENVILLE,2018
10,Colfax,2012
8,STANFORD,2018
105,MANTECA,2013
1,Pescadero,2008
2,Lebec,2006
1,POWAY,2004
43,Redwood City,2006
3,Penngrove,2014
2,MORENO VALLEY,2009
8,INVERNESS,2014
6,Kelseyville,2006
41,CARSON,2014
233,LAKEWOOD,2016
32,ARCATA,2016
1,Portola Hills,2010
1,MORONGO,2018
8,RICHVALE,2019
4,NORTH SAN JUAN,2017
132,West Covina,2016
117,Fallbrook,2013
10,Marina,2013
18,IMPERIAL BEACH,2013
2,Auberry,2015
1,Twin Peaks,2013
6,Santa Ynez,2004
2,Saugus,2015
21,Willows,2013
2,Frazier Park,2003
2,City of Industry,2016
85,Palm Desert,2017
2,Mendocino,2008
10,FREEDOM,2018
2,CULVER CITY,2011
1,BIG SUR,2016
2,Tulare,2002
122,Carlsbad,2012
3,Nicasio,2010
4,Gonzales,2017
207,COVINA,2017
9,TEMECULA,2009
4,Monterey Park,2007
11,Manteca,2005
1,Bodega Bay,2005
1,FRESNO,2003
2,Valley Springs,2016
3,Rolling Hills Estates,2010
22,KENTFIELD,2018
7,Rough and Ready,2010
1,Half Moon Bay,1998
2,Agua Dulce,2012
11,McKinleyville,2011
3,Manton,2013
4,Fieldbrook,2002
1,Morro Bay,2017
12,Newhall,2010
1,Richgrove,2017
2,Tollhouse,2012
3,Monte Sereno,2006
6,Rancho Cucamonga,2006
13,Moorpark,2010
1,Gerber,2016
10,Lathrop,2013
722,OAKLAND,2018
3,LOS ALAMOS,2017
1,Lathrop,2005
13,Santa Rosa Valley,2013
2,Earlimart,2019
1,ALTA,2016
1,HALF MOON BAY,2005
5,Felton,2006
18,Sierra Madre,2009
112,Santa Ana,2012
2,Valley Ford,2009
2,canyon lake,2017
1,Yermo,2017
2,Livermore,2017
1,Biggs,2001
1,Viola,2011
334,CHINO,2018
5,Newman,2011
33,SEAL BEACH,2016
25,Walnut,2010
1,la palma,2017
45,ALHAMBRA,2017
2,BISHOP,2006
1,LEE VINING,2016
5,LITTLE RIVER,2017
6,SUMMERLAND,2015
4,Riverbank,2014
18,Carmel by the Sea,2010
1,ANAHEIM,2013
1,BRIDGEVILLE,2004
7,Olivehurst,2019
68,Tulare,2019
4,PERRIS,2007
56,Alpine,2010
1,San Geronimo,2009
4,Caruthers,2010
2,MORONGO VALLEY,2006
3,Rolling Hills Estates,2007
1,GARDENA,2003
8,TEHACHAPI,2012
2,Hydesville,2009
13,SAN JUAN BAUTISTA,2018
1,Irwindale,2014
29,Taft,2013
5,LEMON COVE,2016
6,Mountain Ranch,2009
101,Moreno Valley,2018
1,Camino,2003
37,Lindsay,2014
1,Dobbins,2012
3475,FRESNO,2016
3,SANTA MONICA,2008
14,Ventura,2004
1,Olema,2011
1,Bradley,2002
1,Pleasant Grove,2007
2,Lemon Cove,2007
5,Moreno Valley,2005
1,Orosi,2002
357,SANTEE,2014
4,Moss Beach,2010
504,EL CAJON,2013
220,NIPOMO,2015
6,Saratoga,2001
270,San Francisco,2008
25,SAN ANDREAS,2016
1,Los Alamos,2017
6,Trinidad,2011
8,MAYWOOD,2018
255,VALLEY CENTER,2017
1,CHICAGO PARK,2018
1,EMERALD HILLS,2018
21,Blythe,2012
56,Yucca Valley,2014
7,Three Rivers,2010
2,TOPANGA,2011
3,POTRERO,2017
6,HEMET,2011
126,SANGER,2014
3,O Neals,2008
2,San Leandro,2003
8,Bishop,2008
220,HEMET,2014
1,Campo,2006
89,Winchester,2014
281,LAGUNA HILLS,2015
2,Portola Valley,2015
4,Pleasant Hill,2003
9,Vallejo,2015
1,Altus,2011
52,Yucaipa,2010
1,Coalinga,2008
2,Sheridan,2014
1,BRANSCOMB,2018
1,Princeton,2008
3,Agoura,2013
11,PALA,2019
6,Morro Bay,2007
1,HACIENDA HEIGHTS,2011
41,Alamo,2010
2,Lake Arrowhead,2017
3,MALIBU,2004
7,VISALIA,2007
156,LEMOORE,2014
1,ACTON,2006
5,Wasco,2009
166,SOLEDAD,2015
1,Rubidoux,2013
1,PAUMA VALLEY,2003
84,Tulare,2018
2,LA CANADA FLINTRIDGE,2008
14,San Bruno,2011
1,Pleasant Grove,2005
1,Yuba City,2001
36,San Carlos,2008
18,LIVINGSTON,2014
12,CORONA DEL MAR,2014
1,Pico Rivera,2007
119,Auburn,2013
16,Moraga,2007
2,ACAMPO,2005
1,Temple City,2002
277,ATWATER,2015
1,Martienz,2007
53,Loomis,2010
4271,BAKERSFIELD,2018
115,ORINDA,2018
2,Ontario,2002
2,Covelo,2018
2,Moorpark,2004
13,Santa Ynez,2012
12,Scotts Valley,2006
13,Danville,2006
1,Los Alamos,2009
29,San Mateo,2006
20,Atherton,2012
10,Del Mar,2008
6,Kensington,2007
2,Avenal,2012
8,San Luis Obispo,2002
69,Pleasant Hill,2012
26,La Mirada,2017
3,LA MIRADA,2012
77,BONSALL,2015
4,Biggs,2010
41,CASTRO VALLEY,2013
3,Geyserville,2013
18,CRESTON,2018
723,SAN FRANCISCO,2014
89,POMONA,2014
33,LOCKEFORD,2016
70,COMPTON,2018
14,Saratoga,2005
59,Romoland,2009
18,COTATI,2017
2,Berkeley,1998
2,Lake Arrowhead,2010
7,Palmdale,2004
7,Lockeford,2012
3,OCEANSIDE,2009
8,Newhall,2009
1,Shingletown,2007
13,Suisun City,2012
2,Chino hills,2016
2,San Gabriel,2005
1,corona,2016
1,Mt. Ranch,2006
10,West Sacramento,2006
10,LOS ALAMOS,2016
4,Fountain Valley,2003
1,GLEN ELLEN,2004
10,OCEANO,2014
3,Groveland,2010
1,Greenwood,2006
1,SAugus,2017
12,SOUTH GATE,2014
1,KAGEL CANYON,2019
125,Santa Maria,2011
4,COLMA,2017
220,CAMARILLO,2016
1,PORT HUENEME,2009
1,Woodland Hills,2004
26,LARKSPUR,2017
22,EAST PALO ALTO,2018
1,Hidden Hills,2016
29,Oroville,2014
5,PLACENTIA,2010
